C1,C2,C5,C8,C10,C11,C12,C16,C17,C20,C23,C25,C29,C30,C32,C36,C44,N2,N3,N4,N5,N7,N11,N12,N13,N14,N15,N16,N20,N21,N22,N24,N25,N27,N30,N31,SalePrice
20,FV,Reg,Inside,Somerst,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Gd,Unf,Normal,7500,7,5,2005,0,1257,1266,0,0,1266,0,3,1,6,2005,2,38,0,0,176000
20,RL,IR1,Corner,NWAmes,Norm,Norm,CompShg,VinylSd,TA,Gd,Av,TA,Y,Ex,RFn,Abnorml,15611,5,6,1977,0,1126,1126,0,0,1126,0,3,1,6,1977,2,180,0,0,175000
190,RL,Reg,Inside,Mitchel,Norm,Norm,CompShg,MetalSd,TA,TA,Av,Ex,Y,TA,Fin,Normal,32463,4,4,1961,149,1249,1622,0,0,1622,1,3,1,7,1975,4,439,0,0,168000
20,RL,Reg,Inside,Edwards,Norm,Norm,CompShg,VinylSd,TA,Ex,No,Gd,Y,TA,Fin,Normal,7024,5,5,2005,0,1090,1090,0,0,1090,1,2,1,5,2005,2,0,0,0,157000
20,RL,IR1,Inside,Gilbert,Norm,Norm,CompShg,VinylSd,Gd,Gd,Av,Ex,Y,Gd,Fin,Partial,8993,7,5,2007,0,1302,1302,0,0,1302,0,3,1,6,2007,2,0,0,0,176485
50,RM,Reg,Corner,OldTown,Norm,Norm,CompShg,VinylSd,TA,TA,No,TA,Y,TA,Unf,Normal,8820,5,6,1890,0,1088,1188,561,120,1869,0,2,1,7,1963,2,48,0,0,124900
20,RL,IR1,CulDSac,ClearCr,Norm,Norm,Tar&Grv,Plywood,TA,Gd,Gd,Ex,Y,Gd,Fin,Normal,53227,4,6,1954,0,1364,1663,0,0,1663,1,2,1,6,1954,2,224,0,0,256000
20,RL,Reg,Inside,Edwards,Norm,Norm,CompShg,HdBoard,TA,TA,No,TA,Y,Fa,Fin,Normal,17755,5,4,1959,132,1466,1466,0,0,1466,0,3,1,6,1959,2,0,0,100,149900
20,RL,Reg,Corner,0mes,Norm,Norm,CompShg,Wd Sdng,TA,TA,Mn,TA,Y,Gd,Unf,Normal,7200,5,7,1951,0,900,900,0,0,900,0,3,1,5,2005,2,222,0,0,134800
20,RL,Reg,Inside,NWAmes,Norm,Norm,CompShg,VinylSd,Gd,TA,No,Ex,Y,Gd,RFn,Abnorml,11040,6,7,1971,144,1258,1258,0,0,1258,0,3,1,5,1971,2,55,216,0,145000
80,RL,IR1,Inside,ClearCr,Norm,Norm,CompShg,Wd Sdng,TA,TA,Av,Ex,Y,Gd,Unf,Abnorml,6930,5,4,1958,120,1062,1352,0,0,1352,0,3,1,6,1958,1,168,0,0,130000
20,RL,Reg,Inside,NridgHt,Norm,Norm,CompShg,CemntBd,Ex,Ex,Gd,Ex,Y,Ex,Fin,Partial,14450,9,5,2006,315,2121,2121,0,0,2121,0,3,1,8,2007,3,124,0,142,415298
80,RL,IR1,Corner,0mes,Norm,Norm,CompShg,Wd Sdng,TA,TA,Av,TA,Y,TA,RFn,Normal,14112,5,7,1964,86,1152,1152,0,0,1152,1,3,1,6,1964,2,227,0,0,180500
20,RL,IR2,CulDSac,NWAmes,PosN,Norm,CompShg,BrkFace,TA,TA,No,TA,Y,TA,RFn,Normal,20781,7,7,1968,0,1568,2156,0,0,2156,0,3,1,9,1968,2,0,290,0,262500
70,RL,IR1,Corner,Crawfor,Norm,Norm,CompShg,Wd Sdng,TA,TA,No,Gd,Y,Gd,Unf,Abnorml,9550,7,5,1915,0,756,961,756,0,1717,1,3,1,7,1998,3,0,0,0,140000
120,RM,Reg,Inside,MeadowV,Norm,Norm,CompShg,CemntBd,TA,Gd,No,TA,Y,TA,Unf,Normal,4224,5,7,1976,0,1040,1060,0,0,1060,1,3,1,6,1976,2,100,0,0,129900
20,RL,Reg,Inside,0mes,Norm,Norm,CompShg,BrkFace,TA,TA,No,TA,Y,TA,Unf,Normal,7931,5,5,1959,0,1148,1148,0,0,1148,1,3,1,6,1959,1,0,0,0,132500
30,RL,Reg,Inside,OldTown,Norm,Norm,CompShg,Stucco,TA,TA,No,Ex,Y,TA,Unf,Normal,10800,5,6,1920,0,1120,1130,0,0,1130,1,2,1,5,1970,2,229,0,0,120000
20,RL,IR1,Inside,0mes,Norm,Norm,CompShg,Wd Sdng,TA,TA,No,Ex,Y,TA,Unf,Normal,17600,6,5,1960,30,1478,1478,0,0,1478,1,3,1,6,1960,2,0,0,0,157500
60,RL,IR1,CulDSac,Gilbert,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Gd,Fin,Normal,10463,8,5,2005,0,893,901,900,0,1801,0,3,1,8,2005,3,0,0,0,239900
120,RL,IR1,Inside,NridgHt,Norm,Norm,CompShg,VinylSd,Gd,Gd,Av,Ex,Y,Gd,RFn,Normal,7052,7,5,2005,240,1364,1364,0,0,1364,1,2,1,6,2005,2,192,0,0,185850
20,RL,IR3,Corner,Gilbert,Norm,Norm,CompShg,VinylSd,Gd,Gd,Av,Ex,Y,Gd,Fin,Family,14572,7,5,2004,0,1530,1530,0,0,1530,1,3,1,7,2004,3,144,0,0,259000
60,RL,Reg,Corner,CollgCr,Norm,Norm,CompShg,CemntBd,Gd,Gd,Mn,Ex,Y,Gd,Unf,Normal,11250,8,5,2002,0,1128,1149,1141,0,2290,0,4,1,9,2002,2,0,0,0,255900
60,FV,Reg,Inside,Somerst,Norm,Norm,CompShg,VinylSd,TA,Gd,Mn,Ex,Y,Gd,Unf,Normal,8640,7,5,2009,0,756,764,783,0,1547,0,3,1,7,2009,2,169,0,0,215200
20,RL,IR1,Corner,0mes,PosA,Norm,CompShg,BrkFace,Gd,TA,No,Ex,Y,Gd,Fin,Normal,16492,6,6,1966,0,1517,1888,0,0,1888,0,2,1,6,1966,2,0,0,0,190000
60,RL,IR1,Corner,Gilbert,Norm,Norm,CompShg,VinylSd,TA,Gd,No,Gd,Y,TA,RFn,Normal,9636,6,5,1992,0,808,808,785,0,1593,0,3,1,7,1993,2,342,0,0,178000
60,RL,Reg,Inside,NWAmes,Norm,Norm,CompShg,HdBoard,TA,TA,No,TA,Y,TA,RFn,Normal,10800,6,7,1974,0,1522,1548,1066,0,2614,0,4,1,9,1974,2,38,0,0,240000
60,RL,Reg,Inside,NoRidge,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Gd,RFn,Normal,10120,8,5,1994,391,1165,1203,1323,0,2526,1,4,1,8,1994,3,309,0,0,290000
60,RL,IR1,Inside,Gilbert,RRAn,Norm,CompShg,VinylSd,TA,Gd,No,Ex,Y,TA,Fin,Normal,8123,6,5,2000,16,982,1007,793,0,1800,0,3,1,7,2000,2,100,0,0,179000
85,RL,IR1,CulDSac,Sawyer,RRAe,Norm,CompShg,HdBoard,TA,Gd,Gd,TA,Y,TA,Fin,Normal,16647,5,5,1975,0,1390,1701,0,0,1701,1,3,1,6,1975,2,0,0,0,171000
60,RL,Reg,Inside,CollgCr,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Gd,Fin,Normal,8200,7,5,2003,0,847,847,1081,0,1928,0,4,1,8,2003,2,100,0,0,219500
20,RL,Reg,Inside,0mes,Norm,Norm,CompShg,MetalSd,TA,TA,No,Gd,Y,TA,Unf,Normal,9600,5,6,1956,0,1050,1050,0,0,1050,0,2,1,5,1956,1,0,0,0,128900
60,RL,Reg,Inside,NWAmes,Feedr,Norm,CompShg,MetalSd,TA,TA,No,Gd,Y,TA,RFn,Normal,9900,7,5,1968,342,832,1098,880,0,1978,0,4,1,9,1968,2,0,0,0,176000
60,RL,IR1,CulDSac,NoRidge,Norm,Norm,CompShg,HdBoard,Gd,Gd,No,Ex,Y,Gd,RFn,Normal,13346,7,5,1992,0,1095,1166,1129,0,2295,1,4,1,9,1992,2,0,0,0,268000
60,RL,Reg,Inside,NridgHt,Norm,Norm,CompShg,VinylSd,Gd,Ex,No,Ex,Y,Ex,Fin,Normal,8834,9,5,2004,216,1462,1462,762,0,2224,1,4,1,10,2004,3,184,0,0,350000
20,RL,Reg,Inside,0mes,Norm,Norm,CompShg,Wd Sdng,Gd,TA,No,Ex,Y,TA,Unf,Normal,14559,5,7,1951,70,1008,1363,0,0,1363,1,2,1,6,1951,1,324,0,168,164900
80,RL,Reg,Inside,Timber,Norm,Norm,CompShg,HdBoard,Gd,Gd,Av,Ex,Y,Gd,RFn,Abnorml,10200,6,5,1988,219,1461,1509,0,0,1509,1,3,1,5,1988,2,224,0,0,175000
60,RL,IR1,Inside,NoRidge,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Ex,Fin,Normal,15138,8,5,1995,506,1462,1490,1304,0,2794,1,4,1,9,1995,3,0,0,0,403000
60,RL,IR1,CulDSac,Gilbert,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Gd,Fin,Normal,9505,7,5,2001,180,884,884,1151,0,2035,0,3,1,8,2001,2,144,0,0,222500
60,RL,IR1,Inside,CollgCr,Norm,Norm,CompShg,VinylSd,Gd,Gd,Av,Ex,Y,Gd,RFn,Normal,9245,7,5,2006,0,939,939,858,0,1797,0,3,1,8,2006,2,144,0,0,213500
60,RL,Reg,Inside,NridgHt,Norm,Norm,CompShg,VinylSd,Gd,Ex,No,Ex,Y,Ex,Fin,Partial,10562,8,5,2007,300,1582,1610,551,0,2161,1,3,1,8,2007,3,178,0,0,325624
20,RL,IR1,Inside,Timber,Norm,Norm,CompShg,VinylSd,Gd,Gd,Gd,Ex,Y,Gd,Fin,Partial,10991,8,5,2007,80,1571,1571,0,0,1571,0,3,1,7,2007,3,100,0,0,239000
60,RL,IR1,Corner,Gilbert,Norm,Norm,CompShg,VinylSd,TA,Gd,No,Gd,Y,TA,Fin,Normal,10141,7,5,1998,40,832,885,833,0,1718,0,3,1,7,1998,2,0,0,291,185000
20,RL,IR1,Inside,0mes,Norm,Norm,CompShg,Plywood,TA,Gd,Gd,Ex,Y,TA,Fin,Normal,13651,7,6,1973,1115,2223,2223,0,0,2223,1,3,1,8,1973,2,300,0,0,244000
30,RL,Reg,Inside,Edwards,Feedr,Norm,CompShg,MetalSd,TA,Fa,No,Gd,Y,TA,No,Normal,8777,5,7,1910,0,796,796,0,0,796,0,2,1,4,0,0,328,0,0,85000
190,RH,Reg,Inside,SWISU,Feedr,Norm,CompShg,VinylSd,Fa,TA,No,Ex,Y,Fa,No,Abnorml,10896,6,7,1914,0,1440,1440,1440,515,3395,0,8,2,14,0,0,0,0,0,200000
20,RL,IR1,Corner,0mes,Norm,Norm,CompShg,BrkFace,TA,TA,Gd,Fa,Y,TA,Fin,Normal,31770,6,5,1960,112,1080,1656,0,0,1656,1,3,1,7,1960,2,210,0,0,215000
60,RL,Reg,Corner,0mes,Norm,Norm,CompShg,MetalSd,TA,TA,No,Ex,Y,Gd,Fin,Normal,14200,7,6,1966,309,924,1216,941,0,2157,0,4,1,8,1966,2,105,0,0,226000
60,RL,IR1,Inside,Gilbert,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Gd,Fin,Normal,8244,7,5,2004,0,840,840,880,0,1720,0,3,1,7,2004,2,100,0,0,183500
20,RL,Reg,Inside,0mes,Norm,Norm,CompShg,BrkFace,TA,TA,No,TA,Y,TA,Unf,Normal,7931,5,6,1960,0,1269,1269,0,0,1269,0,3,1,6,1964,1,0,0,0,155000
20,RL,IR1,Inside,0mes,Norm,Norm,CompShg,HdBoard,Gd,TA,No,Ex,Y,Gd,Unf,Normal,10721,6,6,1959,243,1252,1252,0,0,1252,0,3,1,7,1960,2,0,0,0,142000
60,RL,IR1,Inside,Gilbert,Norm,Norm,CompShg,VinylSd,Gd,Ex,Av,Ex,Y,Gd,Fin,Normal,9056,8,5,2004,0,707,707,707,0,1414,0,3,1,6,2004,2,100,0,0,178000
60,RL,IR1,CulDSac,NoRidge,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Gd,Fin,Normal,11764,8,7,1999,348,1152,1164,1106,0,2270,0,4,1,9,1999,3,132,0,0,290000
20,RL,Reg,Inside,Edwards,Norm,Norm,CompShg,MetalSd,TA,TA,Mn,Ex,Y,TA,Unf,Normal,8877,4,6,1938,0,816,816,0,0,816,1,2,1,3,1958,1,0,0,0,100000
90,RM,Reg,Inside,Mitchel,Norm,Norm,CompShg,VinylSd,TA,Gd,Gd,Ex,Y,TA,Fin,Alloca,7060,7,5,1997,200,1344,1344,0,0,1344,2,2,2,8,1997,4,0,0,0,206300
60,RL,IR1,Inside,CollgCr,Norm,Norm,CompShg,VinylSd,TA,Gd,No,Ex,Y,Gd,RFn,Normal,9337,6,5,1997,0,824,905,881,0,1786,1,3,1,7,1997,2,0,0,0,204750
20,RL,IR1,Corner,NWAmes,Norm,Norm,CompShg,MetalSd,Gd,Gd,No,Ex,Y,Gd,Fin,Normal,12546,6,7,1981,310,1440,1440,0,0,1440,0,3,1,7,1981,2,0,0,0,182900
60,RL,Reg,Inside,NWAmes,Norm,Norm,CompShg,HdBoard,Gd,TA,No,TA,Y,Gd,RFn,Normal,9120,6,6,1974,270,901,943,933,0,1876,0,4,1,8,1974,2,0,0,0,185000
85,RL,IR1,CulDSac,SawyerW,Norm,Norm,CompShg,HdBoard,TA,Gd,Av,Gd,Y,Gd,RFn,Normal,9180,5,7,1983,0,840,884,0,0,884,1,2,1,5,1983,2,240,0,0,144000
160,FV,Reg,Inside,Somerst,Norm,Norm,CompShg,MetalSd,Gd,Gd,No,Ex,Y,Gd,Fin,Abnorml,2645,8,5,1999,456,970,983,756,0,1739,1,3,1,7,1999,2,115,0,0,172500
20,RL,Reg,Inside,Sawyer,Norm,Norm,CompShg,VinylSd,TA,Gd,No,Gd,Y,TA,Fin,Normal,8724,5,5,1968,0,894,894,0,0,894,0,3,1,5,1968,2,0,0,0,129000
20,RL,Reg,Inside,CollgCr,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Gd,Unf,Normal,8125,7,5,2002,295,1654,1654,0,0,1654,1,3,1,6,2002,3,0,0,0,230000
20,RL,Reg,Inside,0mes,Norm,Norm,CompShg,VinylSd,TA,TA,No,TA,Y,Gd,Unf,Abnorml,7922,5,7,1953,0,1057,1057,0,0,1057,1,3,1,5,1953,1,0,0,0,109000
60,RL,Reg,Inside,SawyerW,Feedr,Norm,CompShg,HdBoard,Gd,Gd,No,Gd,Y,Gd,RFn,Normal,13474,7,5,1990,246,700,1122,1121,0,2243,1,4,1,8,1990,3,127,0,0,225000
60,RL,IR1,CulDSac,CollgCr,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Gd,RFn,Normal,9548,7,6,2003,223,941,941,888,0,1829,1,3,1,7,2003,2,192,0,0,237000
30,RL,Reg,Inside,BrkSide,RRAn,Norm,CompShg,Stucco,TA,TA,Mn,Ex,Y,Fa,Fin,Normal,10267,6,7,1918,0,816,838,0,0,838,1,2,1,5,1961,1,0,0,0,130000
60,RL,Reg,Corner,NridgHt,Norm,Norm,CompShg,VinylSd,Gd,Ex,No,Ex,Y,Gd,RFn,Partial,14154,7,5,2006,350,1063,1071,1101,0,2172,0,3,1,9,2006,3,192,0,0,280000
20,RL,IR1,Inside,ClearCr,Norm,Norm,CompShg,Wd Sdng,Gd,TA,No,Ex,Y,TA,Fin,Normal,10708,5,5,1955,0,1617,1867,0,0,1867,1,2,1,7,1955,1,476,0,142,190000
60,RL,IR2,CulDSac,ClearCr,Norm,Norm,Tar&Grv,Plywood,TA,TA,Gd,TA,Y,TA,Fin,Abnorml,28698,5,5,1967,0,1013,1160,966,0,2126,0,3,1,7,1967,2,486,0,225,185000
50,RL,Reg,Inside,Edwards,Norm,Norm,CompShg,WdShing,TA,TA,Mn,TA,Y,TA,Unf,Normal,9060,6,5,1939,0,560,698,560,0,1258,0,2,1,6,1939,1,0,0,0,105000
180,RM,Reg,Inside,MeadowV,Norm,Norm,CompShg,CemntBd,TA,Gd,Av,TA,Y,TA,Unf,Normal,1477,4,4,1970,0,630,630,0,0,630,1,1,1,3,1970,1,0,0,0,80000
60,FV,Reg,Inside,Somerst,Norm,Norm,CompShg,CemntBd,Gd,Gd,No,Ex,Y,Gd,Fin,Normal,10625,7,5,2005,0,1026,1026,932,0,1958,0,3,1,9,2005,3,154,0,0,250000
20,RL,IR1,Inside,0mes,Norm,Norm,CompShg,HdBoard,Gd,TA,No,Ex,Y,Gd,RFn,Normal,10007,5,7,1959,54,1053,1053,0,0,1053,1,3,1,5,1959,1,0,0,0,145500
20,RL,Reg,Inside,OldTown,Norm,Norm,CompShg,MetalSd,TA,TA,No,Ex,Y,Gd,Unf,Normal,5400,5,7,1954,0,833,833,0,0,833,0,2,1,4,1955,1,0,0,0,117000
60,RL,IR1,Corner,NWAmes,Norm,Norm,CompShg,CemntBd,Gd,Gd,No,TA,Y,Ex,RFn,Normal,13005,7,7,1980,278,845,1153,1200,0,2353,1,4,1,10,1983,2,288,0,0,260000
20,RL,Reg,Inside,0mes,Feedr,Norm,CompShg,HdBoard,TA,TA,Av,Gd,Y,TA,RFn,Normal,8400,5,5,1968,168,1052,1052,0,0,1052,1,3,1,5,1968,1,356,0,0,138500
20,RL,Reg,Inside,Mitchel,Norm,Norm,CompShg,HdBoard,TA,TA,No,TA,Y,TA,RFn,Normal,9858,5,6,1968,0,864,874,0,0,874,1,3,1,5,1968,1,33,0,0,130000
50,RL,IR1,Inside,BrkSide,Feedr,Norm,CompShg,MetalSd,TA,TA,No,TA,Y,TA,Unf,Abnorml,4712,4,7,1946,0,747,774,456,0,1230,1,3,1,5,1946,1,0,0,63,121600
20,RL,IR1,Corner,SawyerW,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Gd,Fin,Abnorml,10994,8,5,2005,366,1844,1844,0,0,1844,1,2,1,7,2005,2,165,0,0,257000
20,RL,Reg,Inside,BrkSide,Norm,Norm,CompShg,VinylSd,Fa,No,No,Fa,N,Fa,No,Normal,5000,1,3,1946,0,0,334,0,0,334,0,1,1,2,0,0,0,0,0,39300
60,RL,Reg,Inside,Timber,Norm,Norm,CompShg,VinylSd,Gd,Gd,Gd,Ex,Y,Gd,Fin,Normal,12244,8,5,2003,226,1482,1482,780,0,2262,1,4,1,10,2003,3,168,0,0,305000
80,RL,IR1,Inside,CollgCr,Norm,Norm,CompShg,MetalSd,TA,TA,Av,Gd,Y,TA,Unf,Normal,10780,5,5,1976,0,911,954,0,0,954,0,3,1,6,1976,2,0,0,0,132500
60,RL,Reg,Inside,Gilbert,RRAn,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Gd,Fin,Normal,7750,7,5,2003,0,660,660,660,0,1320,0,3,1,6,2003,2,0,0,0,162000
90,RL,Reg,Inside,Mitchel,Norm,Norm,CompShg,Plywood,TA,No,No,TA,Y,Gd,Unf,Normal,10125,5,5,1977,0,0,1302,432,0,1734,0,4,2,8,1977,2,0,0,0,126000
20,RL,Reg,Inside,SawyerW,Norm,Norm,CompShg,Wd Sdng,Gd,Gd,No,TA,Y,Gd,Unf,Normal,11200,6,5,1985,85,1298,1298,0,0,1298,1,3,1,5,1985,2,165,0,0,180000
60,RL,IR1,Inside,Mitchel,Norm,Norm,CompShg,HdBoard,TA,TA,Av,Ex,Y,TA,RFn,Normal,11075,5,4,1969,232,784,1168,800,0,1968,0,4,1,7,1969,2,305,0,0,172000
20,RL,Reg,Inside,Sawyer,Feedr,Norm,CompShg,VinylSd,TA,TA,Mn,Gd,Y,TA,Unf,Normal,7943,4,5,1961,192,1029,1029,0,0,1029,1,3,1,5,1961,1,64,0,0,118500
75,RM,Reg,Inside,IDOTRR,Norm,Norm,CompShg,MetalSd,TA,TA,No,TA,N,Fa,Unf,Normal,7200,5,7,1920,0,530,581,530,0,1111,0,3,1,6,1935,1,0,0,0,101000
20,RL,Reg,Inside,CollgCr,Norm,Norm,CompShg,VinylSd,Gd,Gd,Av,Ex,Y,Gd,RFn,Normal,9100,7,5,2000,244,1525,1525,0,0,1525,1,3,1,6,2000,2,219,0,0,235000
60,RL,IR1,CulDSac,CollgCr,Norm,Norm,CompShg,VinylSd,TA,Gd,Av,Ex,Y,Gd,Fin,Normal,8924,7,5,1998,0,880,880,844,0,1724,0,3,1,8,1998,2,120,0,0,188000
60,FV,Reg,Inside,Somerst,Norm,Norm,CompShg,VinylSd,Ex,Ex,Av,Ex,Y,Ex,Fin,Normal,11003,10,5,2008,160,1017,1026,981,0,2007,1,3,1,10,2008,3,168,0,0,310000
60,RL,Reg,Corner,Timber,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Gd,Fin,Normal,11316,7,5,2002,44,817,824,1070,0,1894,1,4,1,8,2002,2,0,0,0,214900
60,RL,IR1,Inside,SawyerW,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Gd,RFn,Normal,8880,7,5,1994,0,948,1222,888,0,2110,1,3,1,8,1994,2,0,0,0,205000
20,RL,Reg,Corner,NridgHt,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Gd,RFn,Normal,14230,8,5,2007,640,1566,1600,0,0,1600,0,3,1,7,2007,3,0,0,0,256300
60,RL,Reg,Inside,NWAmes,RRAn,Norm,CompShg,VinylSd,TA,Gd,No,TA,Y,TA,RFn,Normal,11475,6,6,1975,0,713,811,741,0,1552,1,3,1,6,1975,2,209,0,0,179900
50,RL,Reg,Inside,Sawyer,Norm,Norm,CompShg,Wd Sdng,TA,TA,No,TA,Y,TA,Unf,Normal,21286,5,5,1948,0,720,720,551,0,1271,0,4,1,7,1948,1,0,0,0,135000
60,FV,Reg,Inside,Somerst,Norm,Norm,CompShg,VinylSd,Gd,Ex,No,Ex,Y,Gd,RFn,Normal,9375,8,5,2003,768,1053,1053,939,0,1992,0,3,1,9,2003,2,140,0,0,250000
60,RL,IR1,Inside,Gilbert,Norm,Norm,CompShg,VinylSd,Gd,Gd,Av,Ex,Y,Gd,Fin,Partial,9018,7,5,2007,0,728,728,728,0,1456,0,3,1,8,2007,2,100,0,0,179540
20,RL,Reg,Corner,0mes,Norm,Norm,CompShg,MetalSd,TA,TA,No,Ex,Y,TA,RFn,Normal,9600,5,6,1959,132,1041,1041,0,0,1041,1,3,1,6,1959,1,224,0,0,124500
60,RL,IR1,Corner,Gilbert,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Gd,RFn,Normal,12224,6,5,2000,40,992,1022,1032,0,2054,1,3,1,7,2000,2,24,0,0,244000
160,FV,Reg,FR2,Somerst,Norm,Norm,CompShg,MetalSd,Gd,Gd,No,Ex,Y,Gd,Unf,Normal,2651,7,5,2000,0,673,673,709,0,1382,1,3,1,6,2000,2,153,0,0,165000
20,RL,Reg,Corner,0mes,Norm,Norm,CompShg,WdShing,Gd,TA,Av,Gd,Y,Gd,Unf,Normal,8892,5,7,1953,0,105,910,0,0,910,0,3,1,5,1953,2,196,0,0,116000
70,RM,Reg,Inside,OldTown,Norm,Norm,CompShg,MetalSd,TA,TA,No,Ex,Y,Gd,Unf,Normal,9600,7,9,1928,0,689,689,689,0,1378,0,3,1,7,1928,2,0,0,0,161000
60,RL,Reg,Inside,Gilbert,Norm,Norm,CompShg,VinylSd,TA,Gd,No,Ex,Y,TA,RFn,Normal,7917,6,5,1999,0,953,953,694,0,1647,0,3,1,7,1999,2,0,0,0,175000
180,RM,Reg,Inside,MeadowV,Norm,Norm,CompShg,CemntBd,TA,Gd,Gd,TA,Y,TA,Unf,Normal,1596,4,5,1973,0,462,526,462,0,988,1,2,1,5,1973,1,120,0,0,91000
20,RL,Reg,Corner,CollgCr,Norm,Norm,CompShg,VinylSd,TA,Gd,No,Ex,Y,TA,Unf,Normal,10859,5,5,1994,0,1097,1097,0,0,1097,0,3,1,6,1995,2,392,0,0,145000
50,RM,Reg,Inside,BrkSide,Norm,Norm,CompShg,MetalSd,TA,TA,No,Ex,Y,TA,Unf,Normal,6000,6,6,1939,0,780,825,587,0,1412,0,4,1,6,1939,1,45,0,0,132500
60,RL,IR1,Corner,CollgCr,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Gd,RFn,Normal,11645,7,5,2004,0,860,860,860,0,1720,0,3,1,7,2004,2,0,0,0,196500
20,RL,Reg,Inside,Somerst,Norm,Norm,CompShg,CemntBd,Ex,Ex,No,Ex,Y,Ex,Fin,Partial,9416,7,5,2007,205,1726,1726,0,0,1726,1,3,1,8,2007,3,171,0,266,311872
20,RL,IR1,CulDSac,SawyerW,Norm,Norm,CompShg,HdBoard,Gd,Gd,Mn,Gd,Y,Gd,RFn,Normal,14684,7,7,1990,234,2158,2196,0,0,2196,0,3,1,7,1990,3,84,0,0,271900
30,RM,Reg,Corner,IDOTRR,Norm,Norm,CompShg,Wd Sdng,Gd,TA,Av,Ex,Y,TA,Unf,Normal,5890,6,8,1930,0,816,816,0,0,816,0,2,1,5,2002,1,0,0,0,120500
20,RL,IR1,Corner,NridgHt,Norm,Norm,CompShg,VinylSd,Gd,Ex,No,Ex,Y,Ex,Fin,Normal,13173,9,5,2006,300,1652,1652,0,0,1652,1,2,1,6,2006,2,404,0,0,325000
60,RL,Reg,Inside,NridgHt,Norm,Norm,CompShg,VinylSd,Ex,Gd,Av,Ex,Y,Ex,Fin,Normal,13693,9,5,2006,772,2153,2069,574,0,2643,0,3,1,9,2006,3,414,0,0,380000
60,RL,IR2,Inside,Gilbert,Norm,Norm,CompShg,VinylSd,Gd,Gd,Av,Ex,Y,Gd,Fin,Normal,11911,6,5,2005,0,684,684,876,0,1560,0,3,1,6,2005,2,100,0,0,174000
20,RL,Reg,Inside,Mitchel,Norm,Norm,CompShg,HdBoard,TA,Gd,Av,Gd,Y,TA,RFn,Normal,10010,5,5,1974,0,1389,1389,0,0,1389,1,2,1,6,1975,2,240,0,0,170000
60,RL,IR1,Inside,Gilbert,Norm,Norm,CompShg,VinylSd,TA,Gd,Gd,Gd,Y,TA,Fin,Normal,9042,6,5,1998,0,943,943,695,0,1638,1,3,1,7,1998,2,100,0,0,192000
80,RL,IR1,FR2,Veenker,Feedr,Norm,CompShg,Plywood,TA,Gd,Gd,Ex,Y,Gd,Unf,Normal,16157,5,7,1978,0,1360,1432,0,0,1432,1,2,1,5,1978,2,168,0,0,194000
60,RL,IR1,Inside,Gilbert,Norm,Norm,CompShg,VinylSd,Gd,Gd,Av,Ex,Y,Gd,Fin,Normal,11796,7,5,2004,0,847,847,1112,0,1959,0,4,1,8,2004,2,100,0,0,215000
80,RL,IR1,Inside,CollgCr,Norm,Norm,CompShg,Plywood,TA,Gd,Gd,TA,Y,TA,Unf,Normal,10970,6,6,1978,0,940,1026,0,0,1026,1,3,1,5,1981,2,0,0,0,147000
20,RL,Reg,Inside,Somerst,Norm,Norm,CompShg,VinylSd,Gd,Gd,Av,Ex,Y,Gd,RFn,Partial,9849,7,6,2007,0,1689,1689,0,0,1689,0,3,1,7,2007,3,0,0,0,248328
60,RL,IR1,Inside,Gilbert,Norm,Norm,CompShg,VinylSd,TA,Gd,Av,Gd,Y,TA,Fin,Normal,8773,6,5,1997,0,916,916,684,0,1600,0,3,1,7,1997,2,100,0,0,169000
20,RL,IR1,Inside,Sawyer,Norm,Norm,CompShg,Plywood,TA,TA,No,TA,Y,TA,Unf,Normal,11553,5,5,1968,188,1051,1159,0,0,1159,0,3,1,7,1968,1,466,0,0,158000
160,FV,Reg,Inside,Somerst,Norm,Norm,CompShg,MetalSd,Gd,Gd,No,Ex,Y,Gd,RFn,Normal,2544,7,5,2005,0,600,520,623,80,1223,0,2,1,4,2005,2,0,0,0,147400
